Code,Index,IsTurnedOn,Name,LongName,NumCohorts,NumGeneTypes,NumStages,NumSpawns,NumAgeClassSize,NumStocks,VerticallyMigrates,HorizontallyMigrates,IsFished,IsImpacted,isTAC,GroupType,IsPredator,IsCover,IsSiliconDep,IsAssessed,IsCatchGrazer,OverWinters,isCultured,isHabDepend
WHS,44,1,Whale_Small,Dolphins,10,1,2,1,2,1,1,1,1,1,0,MAMMAL,1,0,0,0,0,0,0,0
WDG,45,1,Dugong,Sea otters,10,1,2,1,2,1,1,1,1,1,0,MAMMAL,1,0,0,0,0,0,0,0
FVO,46,1,Pisciv_O_Fish,Migrating birds,10,1,2,1,4,1,1,1,1,1,0,BIRD,1,0,0,0,0,0,0,0
SB,47,1,Seabird,Seabirds (pelagic feeders),10,1,2,1,2,1,1,1,1,1,0,BIRD,1,0,0,0,0,0,0,0
SP,48,1,Penguin,Seabirds (benthic and pelagic feeders),10,1,2,1,2,1,1,1,1,1,0,BIRD,1,0,0,0,0,0,0,0
BC,49,1,Benthic_Carniv,Benthic Carnivore,1,1,1,1,1,1,0,0,1,1,0,LG_INF,1,0,0,0,0,0,0,0
BD,50,1,Deposit_Feeder,Deposit feeders,1,1,1,1,1,1,0,0,1,1,0,LG_INF,1,0,0,0,0,0,0,0
TCR,51,1,Stony_Coral,Stony corals,1,1,1,1,1,1,0,0,1,1,0,SED_EP_FF,1,1,0,0,0,0,0,0
BCR,52,1,Black_Coral,Black corals,1,1,1,1,1,1,0,0,1,1,0,SED_EP_FF,1,1,0,0,0,0,0,0
BFD,53,1,Filter_Deep,Deep benthic filter feeder,1,1,1,1,1,1,0,0,1,1,0,SED_EP_FF,1,1,0,0,0,0,0,0
SCR,54,1,Soft_Coral,Soft corals,1,1,1,1,1,1,0,0,1,1,0,SED_EP_FF,1,1,0,0,0,0,0,0
BFS,55,1,Filter_Shallow,Shallow benthic filter feeders,1,1,1,1,1,1,0,0,1,1,0,SED_EP_FF,1,1,0,0,0,0,0,0
BFF,56,1,Filter_Other,Bivalves,1,1,1,1,1,1,0,0,1,1,0,SED_EP_FF,1,1,0,0,0,0,0,0
BG,57,1,Benthic_grazer,Benthic herbivorous grazers,1,1,1,1,1,1,0,0,1,1,0,SED_EP_OTHER,1,0,0,0,0,0,0,0
NUR,58,1,Nearshore_urchin,Nearshore sea urchins,1,1,1,1,1,1,0,0,1,1,0,SED_EP_OTHER,1,0,0,0,0,0,0,0
PSP,59,1,Pandalid_Shrimp,Pandalid shrimp,1,1,1,1,1,1,1,1,1,1,0,PWN,1,0,0,0,0,0,0,0
PWN,60,1,Prawn,Crangon shrimp,2,1,2,1,1,1,1,1,1,1,0,PWN,1,0,0,0,0,0,0,0
