Time FPS FVS FVT FDS SHD SB PIN WHB WHT BFS BFF BG BML BMS ZL BD MA SG BC ZG TsActFPS TsActFVS TsActFVT TsActFDS TsActSHD TsActSB TsActPIN TsActWHB TsActWHT TsActBFS TsActBFF TsActBG TsActBML TsActBMS TsActZL TsActBD TsActMA TsActSG TsActBC TsActZG
4.015000e+03 28.667819 17.476526 194.982423 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.692538 6.245586 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
4.380000e+03 28.096002 17.080500 192.865034 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.668010 6.075856 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
4.745000e+03 28.961884 16.674445 191.914021 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.645099 5.916435 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
5.110000e+03 29.736233 17.122858 192.592374 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.623946 5.766450 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
5.475000e+03 30.134779 16.830930 192.264086 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.604688 5.627044 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
5.840000e+03 30.225273 17.652066 192.045936 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.587334 5.500057 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
6.205000e+03 30.151507 17.002870 192.283033 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.571666 5.383135 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
6.570000e+03 29.962937 16.623979 192.041110 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.557510 5.275978 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
6.935000e+03 29.695806 17.104795 191.874221 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.544662 5.177463 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
7.300000e+03 29.506014 16.806797 192.326432 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.532952 5.087339 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
7.304500e+03 0.411069 0.089897 2.576376 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.007223 0.069099 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
