Time FPS FVS FVT FDS SHD SB PIN WHB WHT BFS BFF BG BML BMS ZL BD MA SG BC ZG PL PS ZM ZS PB BB BO DL DR DC DIN RelFPS RelFVS RelFVT RelFDS RelSHD RelSB RelPIN RelWHB RelWHT RelBFS RelBFF RelBG RelBML RelBMS RelZL RelBD RelMA RelSG RelBC RelZG RelPL RelPS RelZM RelZS RelPB RelBB RelBO RelDL RelDR RelDC RelDIN PelDemRatio PiscivPlankRatio DivCount InfEpiRatio BSSslope HabitCover
1.000000e+01 1345.291689 475763.170318 5891.059708 48161.729531 152220.373869 87.263270 536.168179 1384.896738 756.567512 1222.994255 12228.730065 2431.106739 2450.618101 19571.140276 1019484.269308 103603.667522 244716.517088 2447.080198 1246391.372682 4256496.227332 5146518.978426 61518805.298916 740668.812051 42628507.210395 16562685.295533 2081257.567492 2077862.626446 10494306.663689 41599061.163734 0.000000 4305058782.865957 1.003916 0.973408 0.998895 1.000767 0.997833 1.032002 1.000028 1.013877 1.000505 0.999487 0.999388 0.993406 1.001379 0.999652 1.127105 0.997196 0.999968 0.999933 0.999721 1.136121 1.692526 1.087530 1.130502 1.137186 44.208218 1.001616 0.999982 1.010088 1.000988 1.000000 2.028509 0.000053 0.000000 21.800000 1885394160.824787 2.843100 0.060851
1.100000e+01 1345.827427 472568.071273 4641.860192 48165.413794 152187.448394 87.263271 536.169802 1384.896738 756.605739 1222.932766 12227.998611 2429.513139 2450.951810 19570.469214 1019402.229983 103575.998217 244715.744141 2447.063936 1246358.156646 4256578.926973 5145738.231805 61505595.157649 740692.572700 42634089.230398 17430452.971369 2081639.537327 2077859.111608 10503273.975052 41603192.373289 0.000000 4305196319.376197 1.004316 0.966871 0.787079 1.000843 0.997617 1.032002 1.000031 1.013877 1.000555 0.999437 0.999328 0.992755 1.001515 0.999618 1.127014 0.996930 0.999965 0.999926 0.999694 1.136143 1.692270 1.087297 1.130538 1.137335 46.524416 1.001800 0.999981 1.010951 1.001088 1.000000 2.028574 0.000053 0.000000 21.800000 1885361574.166340 2.804642 0.060851
1.200000e+01 1346.363477 471884.305776 4641.496366 48169.078974 152154.422795 87.263272 536.171281 1384.896738 756.643922 1222.870901 12227.258953 2427.920113 2451.290574 19569.788756 1019320.772546 103548.292829 244714.966605 2447.047573 1246324.881238 4256662.636655 5144954.797182 61491624.553721 740717.778791 42639677.077951 18142242.330177 2082032.017051 2077855.589742 10512087.562897 41607322.670463 0.000000 4305317802.065924 1.004716 0.965472 0.787018 1.000920 0.997401 1.032002 1.000033 1.013877 1.000606 0.999386 0.999268 0.992104 1.001654 0.999583 1.126924 0.996663 0.999961 0.999920 0.999667 1.136165 1.692012 1.087050 1.130577 1.137484 48.424285 1.001989 0.999979 1.011800 1.001187 1.000000 2.028631 0.000053 0.000000 21.800000 1885328988.922910 2.766161 0.060850
1.300000e+01 1346.899789 471247.762133 4641.132710 48172.741818 152121.420420 87.263274 536.172756 1384.896738 756.682099 1222.809067 12226.519604 2426.330159 2451.629406 19569.108041 1019239.461070 103520.603320 244714.189566 2447.031189 1246291.606514 4256746.363579 5144168.665919 61477170.668409 740742.995034 42645283.931468 18731249.133078 2082434.150358 2077852.069456 10520771.945681 41611451.229076 0.000000 4305426971.758044 1.005116 0.964169 0.786956 1.000996 0.997185 1.032002 1.000036 1.013877 1.000656 0.999336 0.999207 0.991454 1.001792 0.999548 1.126834 0.996397 0.999958 0.999913 0.999641 1.136188 1.691753 1.086794 1.130615 1.137634 49.996430 1.002182 0.999977 1.012635 1.001287 1.000000 2.028683 0.000053 0.000000 21.800000 1885296389.641266 2.727661 0.060850
1.400000e+01 1347.436292 470653.583597 4640.769224 48176.402169 152088.441233 87.263275 536.174230 1384.896738 756.720268 1222.747262 12225.780549 2424.743267 2451.968300 19568.427072 1019158.281706 103492.929693 244713.413025 2447.014784 1246258.332898 4256830.097110 5143381.045509 61462421.470558 740768.214536 42650904.126151 19224053.362204 2082845.805425 2077848.550027 10529345.554957 41615577.586215 0.000000 4305526876.358776 1.005516 0.962954 0.786894 1.001072 0.996968 1.032002 1.000039 1.013877 1.000707 0.999285 0.999147 0.990806 1.001930 0.999514 1.126744 0.996130 0.999955 0.999906 0.999614 1.136210 1.691494 1.086533 1.130654 1.137784 51.311796 1.002381 0.999976 1.013461 1.001386 1.000000 2.028730 0.000053 0.000000 21.800000 1885263799.194630 2.689147 0.060850
1.500000e+01 1347.972931 470097.570966 4640.405908 48180.059973 152055.485198 87.263276 536.175700 1384.896738 756.758431 1222.685486 12225.041775 2423.159431 2452.307248 19567.745849 1019077.223995 103465.271865 244712.636982 2446.998358 1246225.060361 4256913.831789 5142590.765230 61447389.753895 740793.432531 42656533.437264 19640917.619939 2083266.871615 2077845.031500 10537822.949862 41619701.395762 0.000000 4305619696.583350 1.005917 0.961816 0.786833 1.001148 0.996752 1.032002 1.000042 1.013877 1.000757 0.999235 0.999086 0.990159 1.002069 0.999479 1.126655 0.995864 0.999952 0.999900 0.999587 1.136232 1.691234 1.086268 1.130692 1.137934 52.424468 1.002583 0.999974 1.014277 1.001485 1.000000 2.028774 0.000053 0.000000 21.800000 1885231217.446345 2.650624 0.060850
1.600000e+01 1348.509664 469576.073810 4640.042763 48183.715314 152022.552277 87.263278 536.177169 1384.896738 756.796587 1222.623738 12224.303271 2421.578642 2452.646244 19567.064374 1018996.279456 103437.629741 244711.861435 2446.981911 1246191.788785 4256997.561492 5141798.699740 61432172.174792 740818.645264 42662168.598984 19997237.124970 2083697.251573 2077841.514064 10546215.734788 41623822.397117 0.000000 4305706922.017131 1.006317 0.960749 0.786771 1.001224 0.996537 1.032002 1.000044 1.013877 1.000808 0.999184 0.999026 0.989513 1.002207 0.999444 1.126565 0.995598 0.999949 0.999893 0.999561 1.136255 1.690974 1.085999 1.130731 1.138084 53.375536 1.002790 0.999972 1.015084 1.001584 1.000000 2.028815 0.000053 0.000000 21.800000 1885198644.292664 2.612094 0.060850
1.700000e+01 1349.046459 469085.902723 4639.679790 48187.368012 151989.642434 87.263279 536.178635 1384.896738 756.834736 1222.562019 12223.565028 2420.000894 2452.985286 19566.382648 1018915.440982 103410.003355 244711.086386 2446.965444 1246158.518604 4257081.278902 5141004.346447 61416780.439104 740843.849636 42667807.028875 20304756.513456 2084136.856196 2077837.996985 10554533.257834 41627940.393825 0.000000 4305789690.538125 1.006718 0.959746 0.786710 1.001300 0.996321 1.032002 1.000047 1.013877 1.000858 0.999134 0.998966 0.988868 1.002346 0.999409 1.126476 0.995332 0.999946 0.999886 0.999534 1.136277 1.690713 1.085727 1.130769 1.138235 54.196350 1.003002 0.999970 1.015885 1.001683 1.000000 2.028854 0.000053 0.000000 21.800000 1885166079.765581 2.573559 0.060849
1.800000e+01 1349.583290 468624.258001 4639.316988 48191.018134 151956.755632 87.263281 536.180098 1384.896738 756.872879 1222.500327 12222.827037 2418.426180 2453.324369 19565.700671 1018834.702939 103382.392532 244710.311833 2446.948955 1246125.249255 4257164.980233 5140208.964737 61401298.421978 740869.043435 42673446.688735 20572506.099424 2084585.604206 2077834.481205 10562783.135527 41632055.236949 0.000000 4305868777.890959 1.007119 0.958802 0.786648 1.001376 0.996105 1.032002 1.000050 1.013877 1.000909 0.999083 0.998905 0.988224 1.002485 0.999374 1.126387 0.995066 0.999942 0.999879 0.999507 1.136299 1.690451 1.085453 1.130807 1.138385 54.911013 1.003218 0.999969 1.016679 1.001782 1.000000 2.028891 0.000053 0.000000 21.800000 1885133523.736948 2.535022 0.060849
1.900000e+01 1350.119779 468175.727770 4638.954326 48194.626259 151923.695901 87.263282 536.181220 1384.896738 756.910803 1222.437851 12222.072206 2416.849139 2453.673484 19565.000041 1018754.069356 103354.753191 244709.529357 2446.932329 1246091.928885 4257249.448935 5139411.596665 61385612.294092 740894.180363 42679166.314743 20807435.877407 2085044.067863 2077830.960788 10570970.743403 41636167.381096 0.000000 4305944966.624501 1.007519 0.957884 0.786587 1.001451 0.995889 1.032002 1.000052 1.013877 1.000959 0.999032 0.998844 0.987580 1.002627 0.999338 1.126297 0.994800 0.999939 0.999873 0.999481 1.136322 1.690189 1.085176 1.130846 1.138538 55.538075 1.003438 0.999967 1.017467 1.001881 1.000000 2.028927 0.000053 0.000000 21.800000 1885100978.094302 2.496510 0.060849
