Time Predator Cohort Stock Updated FPS FVS FVT FDS SHD SB PIN WHB WHT CEP BFS BFF BG BMD BML BMS ZL BD MA SG BC ZG PL PS ZM ZS PB BB BO DL DR DC
3.000000e+01 FPS 0 0 0 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 8.673342e-03 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.024297e-02 9.335853e-01 1.752665e-03 2.313177e-02 2.947101e-03 0.000000e+00 0.000000e+00 1.959439e-02 7.240429e-05 0.000000e+00
3.000000e+01 FPS 1 0 0 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.325431e-02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.557853e-02 8.982628e-01 2.681819e-03 3.577132e-02 4.452976e-03 0.000000e+00 0.000000e+00 2.989001e-02 1.082220e-04 0.000000e+00
3.000000e+01 FPS 2 0 0 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.455053e-02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.717093e-02 8.885569e-01 2.940422e-03 3.888158e-02 4.890166e-03 0.000000e+00 0.000000e+00 3.289082e-02 1.186446e-04 0.000000e+00
3.000000e+01 FPS 3 0 0 3.237507e-06 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.032550e-02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.772383e-02 8.833727e-01 3.172673e-03 4.602507e-02 5.080671e-03 0.000000e+00 0.000000e+00 3.417316e-02 1.231779e-04 0.000000e+00
3.000000e+01 FPS 4 0 0 3.237508e-06 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.032551e-02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.772383e-02 8.833727e-01 3.172673e-03 4.602507e-02 5.080673e-03 0.000000e+00 0.000000e+00 3.417316e-02 1.231780e-04 0.000000e+00
3.000000e+01 FPS 5 0 0 1.055259e-05 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.032540e-02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.772361e-02 8.833663e-01 3.172643e-03 4.602489e-02 5.080615e-03 0.000000e+00 0.000000e+00 3.417279e-02 1.231766e-04 0.000000e+00
3.000000e+01 FPS 6 0 0 1.004160e-05 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 9.768744e-03 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.669799e-02 8.893026e-01 3.006252e-03 4.404214e-02 4.802362e-03 0.000000e+00 0.000000e+00 3.225333e-02 1.165202e-04 0.000000e+00
3.000000e+01 FPS 7 0 0 1.004160e-05 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 9.768744e-03 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.669799e-02 8.893026e-01 3.006252e-03 4.404214e-02 4.802362e-03 0.000000e+00 0.000000e+00 3.225333e-02 1.165202e-04 0.000000e+00
3.000000e+01 FPS 8 0 0 9.503454e-06 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 9.169909e-03 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.561235e-02 8.957347e-01 2.826475e-03 4.182541e-02 4.505329e-03 0.000000e+00 0.000000e+00 3.020691e-02 1.094202e-04 0.000000e+00
3.000000e+01 FPS 9 0 0 9.503454e-06 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 9.169909e-03 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.561235e-02 8.957347e-01 2.826475e-03 4.182541e-02 4.505329e-03 0.000000e+00 0.000000e+00 3.020691e-02 1.094202e-04 0.000000e+00
3.000000e+01 FVS 0 0 1 1.394014e-02 0.000000e+00 0.000000e+00 1.585156e-03 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.780567e-03 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 2.460603e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 4.311905e-03 6.943284e-02 6.534190e-01 9.470174e-03 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
3.000000e+01 FVS 1 0 1 1.391735e-02 0.000000e+00 0.000000e+00 3.195529e-03 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.777699e-03 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 2.456559e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 4.304960e-03 6.931930e-02 6.523746e-01 9.454632e-03 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
3.000000e+01 FVS 2 0 1 2.358836e-03 1.932037e-03 0.000000e+00 1.548825e-03 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.961267e-03 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 2.385544e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 8.440640e-03 7.206049e-02 6.632623e-01 9.881236e-03 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
3.000000e+01 FVS 3 0 1 2.355275e-03 1.929941e-03 0.000000e+00 1.544414e-03 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.952505e-03 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 2.377521e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 8.403928e-03 7.182675e-02 6.643886e-01 9.846492e-03 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
