Time FPS FVS FVT FDS SHD SB PIN WHB WHT CEP BFS BFF BG BMD BML BMS ZL BD MA SG BC ZG PL PS ZM ZS PB BB BO DL DR DC DIN RelFPS RelFVS RelFVT RelFDS RelSHD RelSB RelPIN RelWHB RelWHT RelCEP RelBFS RelBFF RelBG RelBMD RelBML RelBMS RelZL RelBD RelMA RelSG RelBC RelZG RelPL RelPS RelZM RelZS RelPB RelBB RelBO RelDL RelDR RelDC RelDIN PelDemRatio PiscivPlankRatio DivCount InfEpiRatio BSSslope HabitCover
3.000000e+02 119247.525281 65681.414090 12831.978787 74611.667155 14829.608421 1.148858 1046.648108 0.000000 1420.814402 86809.665218 25298.631117 242982.054851 3398.731584 329474.003812 2638.517829 20369.123005 1022700.903678 1021281.323962 2442333.317212 2441.247793 1238541.790183 4375484.038158 4898002.244593 63663428.474581 762035.637497 42854720.503150 16926383.307542 2260118.072297 2076073.292377 11936697.955540 42688187.158218 0.000000 4333720050.490750 0.889878 0.895891 1.087903 1.033585 0.972109 0.809830 0.976072 1.000000 0.939461 1.158538 1.033760 0.992880 1.388800 0.998492 1.078159 1.040411 1.130661 0.982994 0.997993 0.997550 0.993425 1.167880 1.610797 1.125443 1.163115 1.143221 45.178980 1.087694 0.999121 1.148920 1.027196 1.000000 2.042014 0.000090 0.000000 22.800000 9.515745 -8560.390033 0.091819
3.300000e+02 121931.890081 65146.895840 13250.417562 75992.919376 14964.884614 1.150301 998.337665 0.000000 1420.000906 82221.294926 25378.123050 242786.665233 3510.152703 329424.349619 2658.999397 20446.958860 1022831.892076 1019783.326244 2441802.296314 2440.557478 1237727.600397 4386764.546802 4874552.147337 63753128.701605 763855.259466 42865130.473153 16418107.640295 2280514.318232 2075894.943529 12045536.081040 42791779.414446 0.000000 4335182264.150302 0.909910 0.888600 1.123378 1.052720 0.980976 0.810848 0.931019 1.000000 0.938923 1.097303 1.037008 0.992082 1.434329 0.998342 1.086528 1.044387 1.130806 0.981552 0.997776 0.997268 0.992772 1.170891 1.603085 1.127029 1.165892 1.143499 43.822319 1.097510 0.999035 1.159396 1.029688 1.000000 2.042703 0.000085 0.000000 22.800000 9.512077 -8753.091807 0.091792
3.600000e+02 124698.072617 64640.980737 13700.320379 77366.628291 15101.462895 1.151822 998.004908 0.000000 1419.125277 77978.211961 25459.462343 242582.413952 3625.119066 329374.699799 2680.376640 20526.994448 1023098.691048 1018324.258619 2441253.979329 2439.842245 1236912.898980 4398964.444454 4851456.292627 63880572.614022 765947.625000 42874097.690558 15926802.276415 2300137.731168 2075716.952635 12149515.227425 42896109.463249 0.000000 4336617166.235067 0.930552 0.881700 1.161521 1.071749 0.989929 0.811920 0.930708 1.000000 0.938344 1.040676 1.040332 0.991247 1.481307 0.998191 1.095263 1.048475 1.131101 0.980148 0.997552 0.996975 0.992118 1.174148 1.595490 1.129281 1.169086 1.143738 42.510953 1.106953 0.998950 1.169404 1.032199 1.000000 2.043379 0.000084 0.000000 22.800000 9.508498 -8951.667009 0.091762
3.650000e+02 125200.198735 64559.668244 13768.196369 77597.339205 15124.519500 1.152089 997.972251 0.000000 1418.971258 77300.151437 25473.160713 242547.576405 3644.771429 329366.417055 2684.019472 20540.509242 1023156.782115 1018084.359676 2441160.713181 2439.720113 1236776.833512 4401113.635236 4847639.314553 63904027.811650 766333.616189 42875519.390812 15846467.531285 2303337.156160 2075687.272778 12166367.265215 42913559.284400 0.000000 4336854260.415732 0.934299 0.880591 1.167276 1.074945 0.991441 0.812108 0.930678 1.000000 0.938243 1.031627 1.040892 0.991105 1.489337 0.998166 1.096752 1.049165 1.131165 0.979917 0.997514 0.996926 0.992009 1.174721 1.594234 1.129696 1.169675 1.143776 42.296528 1.108493 0.998935 1.171026 1.032619 1.000000 2.043491 0.000139 0.000000 22.800000 9.507909 -8987.713001 0.091757
3.900000e+02 128174.245480 63165.779957 8936.804300 78749.045227 15240.942095 1.153443 998.531549 0.000000 1418.188743 74021.277675 25542.793235 242368.621591 3744.861821 329325.066414 2702.731612 20609.384195 1023455.052885 1016900.948130 2440684.856795 2439.096454 1236096.674083 4411974.383801 4828693.402680 64006820.885994 768291.069425 42881760.026176 15451715.759441 2318992.398384 2075539.096029 12248777.981112 43001133.880804 0.000000 4338028003.635316 0.956493 0.861578 0.757667 1.090900 0.999073 0.813062 0.931200 1.000000 0.937725 0.987868 1.043737 0.990374 1.530236 0.998041 1.104398 1.052683 1.131495 0.978778 0.997320 0.996671 0.991463 1.177620 1.588004 1.131513 1.172662 1.143942 41.242878 1.116027 0.998864 1.178958 1.034726 1.000000 2.044044 0.000142 0.000000 22.800000 9.505005 -9201.210095 0.091730
4.200000e+02 131894.045731 53997.611810 9425.359112 80120.737056 15383.387143 1.154755 999.176322 0.000000 1417.119990 70350.955596 25630.604239 242139.179687 3868.768795 329275.424826 2726.794167 20696.677569 1023733.035529 1015510.828187 2440086.662352 2438.314942 1235278.208719 4425800.677377 4806265.970169 64173330.854194 770846.152865 42890408.036199 14992282.892509 2337089.442587 2075361.202558 12343472.593617 43106792.069371 0.000000 4339666374.853590 0.984252 0.736525 0.799087 1.109902 1.008410 0.813987 0.931801 1.000000 0.937018 0.938885 1.047325 0.989436 1.580868 0.997891 1.114231 1.057142 1.131802 0.977440 0.997075 0.996351 0.990807 1.181311 1.580628 1.134457 1.176562 1.144173 40.016585 1.124737 0.998779 1.188072 1.037269 1.000000 2.044816 0.000141 0.000000 22.800000 9.501594 -9468.242396 0.091695
4.500000e+02 135731.601621 47415.833503 9954.684079 81477.384742 15526.871659 1.155865 999.992541 0.000000 1415.967396 66966.126205 25720.180195 241900.792111 3995.657502 329225.884517 2751.890580 20786.177493 1023981.667357 1014159.544934 2439471.695567 2437.519617 1234461.348962 4439989.308556 4784176.750401 64486006.892447 773528.628935 42896997.322460 14548960.446486 2354417.401299 2075184.083605 12434013.574702 43213095.927835 0.000000 4342406908.119576 1.012889 0.646750 0.843964 1.128695 1.017816 0.814770 0.932562 1.000000 0.936256 0.893712 1.050986 0.988462 1.632717 0.997740 1.124486 1.061714 1.132077 0.976139 0.996824 0.996026 0.990152 1.185098 1.573363 1.139984 1.180657 1.144349 38.833293 1.133076 0.998693 1.196787 1.039827 1.000000 2.046107 0.000139 0.000000 22.400000 9.498272 -9743.727989 0.091657
4.800000e+02 138655.597880 41611.840344 10573.523852 74060.338716 15673.672625 1.156978 1000.091799 0.000000 1414.861571 105891.717786 25811.036380 241654.651693 4128.301978 329176.333577 2777.928150 20877.368541 1024243.370540 1012839.749217 2438835.562168 2436.714785 1233642.468845 4453557.343087 4762386.021499 64853008.343533 775963.002435 42903394.805231 14120323.556239 2371061.265798 2075006.954523 12520259.387997 43320102.569177 0.000000 4345881198.084495 1.034709 0.567583 0.896430 1.025948 1.027439 0.815554 0.932655 1.000000 0.935525 1.413202 1.054698 0.987456 1.686919 0.997590 1.135125 1.066371 1.132366 0.974869 0.996564 0.995698 0.989495 1.188719 1.566197 1.146472 1.184372 1.144519 37.689199 1.141086 0.998608 1.205088 1.042401 1.000000 2.047744 0.000081 0.000000 22.400000 9.495027 -9953.632122 0.091617
5.100000e+02 141129.576544 38330.069146 11292.407669 75861.813015 15829.500383 1.128493 1000.179620 0.000000 1413.824729 115093.582178 25911.640145 241376.494439 4270.219613 329126.793572 2807.461154 20978.750859 1024433.944565 1011537.230713 2438137.302795 2435.865171 1232814.610732 4466190.984057 4740857.963638 65215382.261259 778080.952062 42908377.240544 13705821.539730 2387001.246234 2074828.461436 12602126.857179 43427659.967625 0.000000 4349431879.805271 1.053171 0.522820 0.957377 1.050903 1.037654 0.795475 0.932737 1.000000 0.934840 1.536008 1.058809 0.986320 1.744910 0.997440 1.147193 1.071550 1.132577 0.973615 0.996279 0.995350 0.988831 1.192091 1.559117 1.152878 1.187605 1.144652 36.582832 1.148757 0.998522 1.212968 1.044990 1.000000 2.049417 0.000080 0.000000 22.400000 9.491853 -10131.230963 0.091572
5.400000e+02 123514.583515 36218.410241 11905.103651 77830.473106 15982.950786 1.129292 1000.131074 0.000000 1412.860575 108094.625408 26007.676409 241105.225890 4413.830031 329077.420638 2836.371143 21075.841701 1024569.305491 1010278.634895 2437448.432136 2435.044132 1231993.480296 4477762.036197 4719641.611038 65546219.465009 779894.941972 42914100.658761 13306515.139228 2402219.185397 2074651.831575 12680568.496761 43535807.257670 0.000000 4352386615.624005 0.921720 0.494017 1.009322 1.078175 1.047713 0.796038 0.932691 1.000000 0.934202 1.442601 1.062733 0.985211 1.803592 0.997290 1.159006 1.076509 1.132726 0.972404 0.995997 0.995015 0.988172 1.195180 1.552140 1.158727 1.190374 1.144805 35.517025 1.156081 0.998437 1.220518 1.047592 1.000000 2.050810 0.000079 0.000000 22.800000 9.488767 -8866.708195 0.091525
