Time FPS-0 FVS-0 FVT-0 FDS-0 SHD-0 SB-0 PIN-0 WHB-0 WHT-0
1.320000e+03 2383.558593 19058781.488007 857.134080 2426069.367887 5.708970 0.000000 0.000000 0.000000 0.000000
1.350000e+03 2383.558593 19058781.488007 857.134080 2426069.367887 6.537650 0.000000 0.000000 0.000000 0.000000
1.380000e+03 2383.558593 19058781.488007 857.134080 2426069.367887 6.537650 0.000000 0.000000 0.000000 0.000000
1.410000e+03 2383.558593 19058781.488007 857.134080 2426069.367887 6.537650 0.000000 0.000000 0.000000 0.000000
1.440000e+03 2383.558593 19058781.488007 857.134080 2426069.367887 6.537650 0.000000 0.000000 0.000000 0.000000
1.460000e+03 2383.558593 19058781.488007 857.134080 2426069.367887 6.537650 0.000000 0.000000 0.000000 0.000000
1.470000e+03 2383.558593 19058781.488007 857.134080 2426069.367887 6.537650 0.000000 0.000000 0.000000 0.000000
1.500000e+03 2383.558593 14791089.703538 857.134080 2426069.367887 6.537650 0.000000 0.000000 0.000000 0.000000
1.530000e+03 2383.558593 14791089.703538 857.134080 2426069.367887 6.537650 0.000000 0.000000 0.000000 0.000000
1.560000e+03 2383.558593 14791089.703538 857.134080 2999778.399440 6.537650 0.000000 0.000000 0.000000 0.000000
1.590000e+03 2383.558593 14791089.703538 857.134080 2999778.399440 6.537650 0.000000 0.000000 0.000000 0.000000
1.620000e+03 2394.630900 14791089.703538 857.134080 2999778.399440 6.537650 0.000000 0.000000 0.000000 0.000000
1.650000e+03 2394.630900 14791089.703538 857.134080 2999778.399440 6.537650 0.000000 0.000000 0.000000 0.000000
1.680000e+03 2394.630900 14791089.703538 857.134080 2999778.399440 6.537650 0.000000 0.000000 0.000000 0.000000
1.710000e+03 2394.630900 14791089.703538 857.134080 2999778.399440 7.372538 0.000000 0.000000 0.000000 0.000000
1.740000e+03 2394.630900 14791089.703538 857.134080 2999778.399440 7.372538 0.000000 0.000000 0.000000 0.000000
1.770000e+03 2394.630900 14791089.703538 857.134080 2999778.399440 7.372538 0.000000 0.000000 0.000000 0.000000
1.800000e+03 2394.630900 14791089.703538 857.134080 2999778.399440 7.372538 0.000000 0.000000 0.000000 0.000000
1.824500e+03 2394.630900 14791089.703538 857.134080 2999778.399440 7.372538 0.000000 0.000000 0.000000 0.000000
